rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
134,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,227,227,snapshot_2026_07_27.json
135,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,224,224,snapshot_2026_07_27.json
136,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,223,223,snapshot_2026_07_27.json
137,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,221,221,snapshot_2026_07_27.json
138,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,218,218,snapshot_2026_07_27.json
139,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,213,213,snapshot_2026_07_27.json
140,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,211,211,snapshot_2026_07_27.json
141,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,210,210,snapshot_2026_07_27.json
142,map,yukina-tw-hsinchu,新竹 (Hsinchu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,210,210,snapshot_2026_07_27.json
143,map,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,209,209,snapshot_2026_07_27.json
144,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,209,209,snapshot_2026_07_27.json
145,map,yukina-tw-tainan,臺南 (Tainan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,208,208,snapshot_2026_07_27.json
146,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,204,204,snapshot_2026_07_27.json
147,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,203,203,snapshot_2026_07_27.json
148,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,202,202,snapshot_2026_07_27.json
149,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,201,201,snapshot_2026_07_27.json
150,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,201,201,snapshot_2026_07_27.json
151,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,198,198,snapshot_2026_07_27.json
152,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,198,198,snapshot_2026_07_27.json
153,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,196,196,snapshot_2026_07_27.json
154,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,192,192,snapshot_2026_07_27.json
155,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,191,191,snapshot_2026_07_27.json
156,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,191,191,snapshot_2026_07_27.json
157,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,190,190,snapshot_2026_07_27.json
158,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,190,190,snapshot_2026_07_27.json
159,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,190,190,snapshot_2026_07_27.json
160,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,189,189,snapshot_2026_07_27.json
161,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,189,189,snapshot_2026_07_27.json
162,mod,pause-on-start,Pause On Start,rslurry,slurry,https://github.com/rslurry,189,189,snapshot_2026_07_27.json
163,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,188,188,snapshot_2026_07_27.json
164,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,187,187,snapshot_2026_07_27.json
165,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,186,186,snapshot_2026_07_27.json
166,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,185,185,snapshot_2026_07_27.json
167,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,185,185,snapshot_2026_07_27.json
168,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,184,184,snapshot_2026_07_27.json
169,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,182,182,snapshot_2026_07_27.json
170,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,181,181,snapshot_2026_07_27.json
171,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,177,177,snapshot_2026_07_27.json
172,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,177,177,snapshot_2026_07_27.json
173,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,176,176,snapshot_2026_07_27.json
174,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,173,173,snapshot_2026_07_27.json
175,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,167,167,snapshot_2026_07_27.json
176,map,tromso-no,Tromsø,rslurry,slurry,https://github.com/rslurry,164,164,snapshot_2026_07_27.json
177,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,163,163,snapshot_2026_07_27.json
178,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,163,163,snapshot_2026_07_27.json
179,map,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,159,159,snapshot_2026_07_27.json
180,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,157,157,snapshot_2026_07_27.json
181,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,154,154,snapshot_2026_07_27.json
182,mod,train-anarchy,Train Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,152,152,snapshot_2026_07_27.json
183,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,151,151,snapshot_2026_07_27.json
184,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,150,150,snapshot_2026_07_27.json
185,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,snapshot_2026_07_27.json
186,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,146,146,snapshot_2026_07_27.json
187,map,trondheim-no,Trondheim,rslurry,slurry,https://github.com/rslurry,146,146,snapshot_2026_07_27.json
188,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,145,145,snapshot_2026_07_27.json
189,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,144,144,snapshot_2026_07_27.json
190,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,144,144,snapshot_2026_07_27.json
191,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,143,143,snapshot_2026_07_27.json
192,mod,copy-paste,Copy Paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,143,143,snapshot_2026_07_27.json
193,map,bordeaux-arcachon-libourne,Bordeaux,pierreggt,pierreggt,https://github.com/pierreggt,142,142,snapshot_2026_07_27.json
194,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,141,141,snapshot_2026_07_27.json
195,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,140,140,snapshot_2026_07_27.json
196,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,138,138,snapshot_2026_07_27.json
197,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,138,138,snapshot_2026_07_27.json
198,map,yukina-pl-szczecin,Szczecin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,131,131,snapshot_2026_07_27.json
199,map,mfn-msy,New Orleans,crumpetime,muffintime,https://github.com/crumpetime,130,130,snapshot_2026_07_27.json
200,map,nice-cote-d-azur,Nice,pierreggt,pierreggt,https://github.com/pierreggt,126,126,snapshot_2026_07_27.json
201,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,125,125,snapshot_2026_07_27.json
202,map,yukina-tw-chiayi,嘉義 (Chiayi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,116,116,snapshot_2026_07_27.json
203,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,115,115,snapshot_2026_07_27.json
204,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,114,114,snapshot_2026_07_27.json
205,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,110,110,snapshot_2026_07_27.json
206,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,110,110,snapshot_2026_07_27.json
207,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,109,109,snapshot_2026_07_27.json
208,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,106,106,snapshot_2026_07_27.json
209,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,106,106,snapshot_2026_07_27.json
210,map,yukina-pl-lublin,Lublin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,103,103,snapshot_2026_07_27.json
211,map,lyon,Lyon,pierreggt,pierreggt,https://github.com/pierreggt,101,101,snapshot_2026_07_27.json
212,map,yukina-pl-bialystok,Białystok,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,100,100,snapshot_2026_07_27.json
213,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,98,98,snapshot_2026_07_27.json
214,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,96,96,snapshot_2026_07_27.json
