rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
83,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FSZ,JP,1577894,34377,15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,GPDX,US,1571997,77003,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,PRG,CZ,1538021,78484,18766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,WMV,US,1527957,206527,10166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEJ3,KR,1514790,20944,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,CAI,EG,1509805,14487,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KTW,PL,1509308,38580,25193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,au-brisbane,Brisbane,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,BNE,AU,1495268,11805,6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CT,US,1483718,99514,6597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,USN4,KR,1460625,21551,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,trujillo,Trujillo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,TRU,PE,1442464,12600,8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,PR,PR,1434290,30194,8016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,yukina-maebashi,前橋 (Maebashi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,MBS,JP,1434237,37584,18919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,OC,US,1429155,137792,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,USN3,KR,1401126,20231,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,alicante,Alicante,Maximilian284,max02,https://github.com/Maximilian284,ESAL,ES,1386953,40710,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,sevilla,Sevilla,Maximilian284,max02,https://github.com/Maximilian284,ESSV,ES,1370173,40160,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HIJ,JP,1355217,26560,9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,CJS,MX,1342726,47927,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,piura,Piura,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,PIU,PE,1303512,11909,17239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,LAS,US,1296870,79319,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,brussels,Brussels,lexenygma,lexenygma,https://github.com/lexenygma,BRU,BE,1265512,8847,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KRK,PL,1263223,40070,28341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,sofia-bulgaria,Sofia,giannons46,giannons46,https://github.com/giannons46,SOF,BG,1229754,436879,2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,DAY,US,1226849,123534,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,PYO,KP,1210086,7078,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,OPO,PT,1189520,59476,46542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,GPVD,US,1177616,127986,3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,arequipa,Arequipa,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,AQP,PE,1172562,11751,10656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,mississippi,Mississippi,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,MS,US,1171983,234670,21243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,VPT,IT,1165753,12448,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SDJ,JP,1130636,23038,8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,yukina-kitakyushu-shimonoseki,北九州・下関 (Kitakyūshū & Shimonoseki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KKJ,JP,1128866,30868,12715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,yukina-ua-kharkiv,Харків / Kharkiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HRK,UA,1111554,28722,16358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KIJ,JP,1077385,33596,16113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,POZ,PL,1057771,30613,21239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,yukina-tw-tainan,臺南 (Tainan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TNN,TW,1050361,18291,5874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,yukina-utsunomiya,宇都宮 (Utsunomiya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,QUT,JP,1027638,36078,18938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,JHB,MY,1026080,11110,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,au-perth,Perth,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,PER,AU,1006991,8027,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKJ,JP,986836,28442,12478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,BWI,US,972032,75010,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,GRD,IT,959863,12896,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LCJ,PL,951801,29840,21247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,GDN,PL,947733,25012,16831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,SAT,US,946870,106855,4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,HEL,FI,940971,13981,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WRO,PL,940070,25228,16435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
